Sub-Area,Type,Area,Price,Company,Township,Township Area,ClubHouse,School,Hospital,Mall,Park,Pool,Gym
akurdi,5.0,1579,16.3,mantra properties,Mantra Sky Tower,3.5,1,0,0,0,1,1,1
tathawade,1.0,491,3.9000000000000004,ravima ventures,newton homes,,0,0,0,0,1,0,1
tathawade,2.0,659,5.1000000000000005,ravima ventures,newton homes,,0,0,0,0,1,0,1
tathawade,2.0,732,6.0,ravima ventures,newton homes,,0,0,0,0,1,0,1
tathawade,3.0,809,6.6000000000000005,ravima ventures,newton homes,,0,0,0,0,0,0,1
hadapsar,1.0,460,4.55,proviso group,lesiure Town,,0,0,0,0,1,1,1
hadapsar,2.0,734,7.25,proviso group,lesiure Town,,0,0,0,0,1,1,1
hadapsar,2.0,753,7.3500000000000005,proviso group,lesiure Town,,0,0,0,0,1,1,1
hadapsar,2.0,675,6.2,ravima ventures,newton homes,,0,0,0,0,1,0,0
hadapsar,3.0,917,8.4,ravima ventures,newton homes,,0,0,0,0,1,0,0
kiwale,2.0,670,5.414000000000001,unique properties,k ville,,1,0,0,0,1,1,0
kiwale,2.0,740,5.832000000000001,unique properties,k ville,,1,0,0,0,1,1,0
kiwale,2.5,847,6.938,unique properties,k ville,,1,0,0,0,1,1,0
kiwale,2.5,936,7.503,unique properties,k ville,,1,0,0,0,1,1,0
kiwale,3.0,990,7.902,unique properties,k ville,,1,0,0,0,1,1,0
kiwale,3.0,1032,8.209999999999999,unique properties,k ville,,1,0,0,0,1,1,0
kayani nagar,3.0,1698,24.900000000000002,sagitarius ecospaces llp,bluegrass residences,,1,0,0,0,1,1,1
pisoli,2.0,670,4.575,nirman developers,brookefield willows,,1,0,0,0,1,1,1
pisoli,2.0,725,4.934000000000001,nirman developers,brookefield willows,,1,0,0,0,1,1,1
pisoli,2.0,731,4.974,nirman developers,brookefield willows,,1,0,0,0,1,1,1
pisoli,2.0,744,5.056000000000001,nirman developers,brookefield willows,,1,0,0,0,1,1,1
manjri,1.0,446,3.6,jhala group,tranquility annexe,,1,0,0,0,1,1,1
manjri,2.0,670,5.5,jhala group,tranquility annexe,,1,0,0,0,1,1,1
manjri,2.5,792,6.550000000000001,jhala group,tranquility annexe,,1,0,0,0,1,1,1
mahalunge,2.0,1180,6.800000000000001,jhala group,mahalunge riviera,,1,0,0,0,1,1,1
mahalunge,2.0,860,6.5,jhala group,mahalunge riviera,,1,0,0,0,1,1,1
mahalunge,3.0,988,9.200000000000001,jhala group,mahalunge riviera,,1,0,0,0,1,1,1
mahalunge,3.0,1093,9.200000000000001,jhala group,mahalunge riviera,,1,0,0,0,1,1,1
handewadi,1.0,456,3.35,jhala group,simplicity,,1,0,0,0,1,0,1
handewadi,2.0,644,4.7299999999999995,jhala group,simplicity,,1,0,0,0,1,0,1
handewadi,2.5,785,5.522,jhala group,simplicity,,1,0,0,0,1,0,1
koregaon park,3.0,1060,13.600000000000001,shroff developers,aureta,,0,0,0,0,1,1,1
mundhwa,2.0,664,4.759,unique properties,unique legacy royale,,0,0,0,0,1,0,1
mundhwa,2.0,670,4.7700000000000005,unique properties,unique legacy royale,,0,0,0,0,1,0,1
mundhwa,2.0,673,4.78,unique properties,unique legacy royale,,0,0,0,0,1,0,1
mundhwa,2.0,682,4.7909999999999995,unique properties,unique legacy royale,,0,0,0,0,1,0,1
mundhwa,2.0,698,4.8020000000000005,unique properties,unique legacy royale,,0,0,0,0,1,0,1
nibm,3.0,1239,16.1,kundan spaces,Presidia,,1,0,0,0,1,1,1
nibm,3.0,1315,17.0,kundan spaces,Presidia,,1,0,0,0,1,1,1
nibm,3.0,1388,17.8,kundan spaces,Presidia,,1,0,0,0,1,1,1
nibm,3.0,1463,18.7,kundan spaces,Presidia,,1,0,0,0,1,1,1
nibm,3.5,1671,21.1,kundan spaces,Presidia,,1,0,0,0,1,1,1
nibm,3.5,1687,21.3,kundan spaces,Presidia,,1,0,0,0,1,1,1
bt kawade rd,1.0,575,6.5,kundan spaces,Eternia 2.0,,1,0,0,0,1,1,1
bt kawade rd,2.0,751,8.4,kundan spaces,Eternia 2.0,,1,0,0,0,1,1,1
bt kawade rd,2.0,761,8.5,kundan spaces,Eternia 2.0,,1,0,0,0,1,1,1
bt kawade rd,2.0,871,9.600000000000001,kundan spaces,Eternia 2.0,,1,0,0,0,1,1,1
bt kawade rd,3.0,1166,12.9,kundan spaces,Eternia 2.0,,1,0,0,0,1,1,1
bt kawade rd,3.0,1206,13.3,kundan spaces,Eternia 2.0,,1,0,0,0,1,1,1
bt kawade rd,3.0,1272,13.9,kundan spaces,Eternia 2.0,,1,0,0,0,1,1,1
bt kawade rd,3.0,1279,14.0,kundan spaces,Eternia 2.0,,1,0,0,0,1,1,1
undri,2.0,646,4.32,venkatesh bhoomi construction,Bliss Solitaire,,0,0,0,0,1,0,0
undri,2.0,717,4.74,venkatesh bhoomi construction,Bliss Solitaire,,0,0,0,0,1,0,0
handewadi,1.0,436,3.058,lush life,Impero,,0,0,0,0,1,0,0
handewadi,2.0,637,4.349,lush life,Impero,,0,0,0,0,1,0,0
handewadi,2.0,642,4.383,lush life,Impero,,0,0,0,0,1,0,0
handewadi,2.0,655,4.444,lush life,Impero,,0,0,0,0,1,0,0
handewadi,2.0,668,4.5520000000000005,lush life,Impero,,0,0,0,0,1,0,0
handewadi,3.0,810,5.4,lush life,Impero,,0,0,0,0,1,0,0
karvanagar,2.0,735,11.100000000000001,maha anand pinnac associates,River Dale Residency,,0,0,0,0,1,0,1
karvanagar,2.0,783,11.8,maha anand pinnac associates,River Dale Residency,,0,0,0,0,1,0,1
